ai0,ai1,port0/line0,port0/line1,port0/line2,port0/line3
-1.3039844292765608,-1.740096577610661,0.0,0.0,0.0,1.0
-1.380403057301244,-1.847113695506275,0.0,0.0,0.0,1.0
-1.4364433845193467,-1.9235544940031417,0.0,0.0,0.0,1.0
-1.4771999861325114,-1.9745150263343856,0.0,0.0,0.0,1.0
-1.4975782869390937,-1.9999952925000084,0.0,0.0,0.0,1.0
-1.5026728621407397,-2.0101873989662575,0.0,0.0,0.0,1.0
-1.4873891365358016,-1.9898031860337593,0.0,0.0,0.0,1.0
-1.456821685325929,-1.9388426537025154,0.0,0.0,0.0,1.0
-1.395686782906182,-1.8624018552056487,0.0,0.0,0.0,1.0
-1.324362730083143,-1.7706728970094066,0.0,0.0,0.0,1.0
-1.2428495268568138,-1.6789439388131662,0.0,0.0,0.0,1.0
-1.1766200492354209,-1.6025031403162995,0.0,0.0,0.0,1.0
-1.1307688724206102,-1.546446554751931,0.0,0.0,0.0,1.0
-1.1002014212107376,-1.510774182120059,0.0,0.0,0.0,1.0
-1.0747285452025093,-1.4852939159544363,0.0,0.0,0.0,1.0
-1.059444819597573,-1.464909703021938,0.0,0.0,0.0,1.0
-1.054350244395927,-1.4547175965556907,0.0,0.0,0.0,1.0
-1.0798231204041553,-1.4700057562550626,0.0,0.0,0.0,1.0
-1.1460525980255483,-1.5260623418194328,0.0,0.0,0.0,1.0
-1.2326603764535236,-1.607599193549424,0.0,0.0,0.0,1.0
-1.3345518804864351,-1.7095202582119136,0.0,0.0,0.0,1.0
-1.4211596589144104,-1.8216334293406522,0.0,0.0,0.0,1.0
-1.4873891365358016,-1.9184584407700171,0.0,0.0,0.0,1.0
-1.523051162947322,-1.9948992392668838,0.0,0.0,0.0,1.0
-1.5434294637539043,-2.0560518780643786,0.0,0.0,0.0,1.0
-1.5485240389555486,-2.0968203039293734,0.0,0.0,0.0,1.0
-1.5485240389555486,-2.112108463628747,0.0,0.0,0.0,1.0
-1.517956587745676,-2.0866281974631242,0.0,0.0,0.0,1.0
-1.456821685325929,-2.015283452199382,0.0,0.0,0.0,1.0
-1.3702139068979537,-1.9184584407700171,0.0,0.0,0.0,1.0
-1.2683224028650422,-1.8063452696412785,0.0,0.0,0.0,1.0
-1.1715254740337748,-1.704424204978789,0.0,0.0,0.0,1.0
-1.1052959964123836,-1.6279834064819223,0.0,0.0,0.0,1.0
-1.0696339700008632,-1.5872149806169258,0.0,0.0,0.0,1.0
-1.054350244395927,-1.571926820917552,0.0,0.0,0.0,1.0
-1.064539394799219,-1.5668307676844275,0.0,0.0,0.0,1.0
-1.0900122708074456,-1.5872149806169258,0.0,0.0,0.0,1.0
-1.1460525980255483,-1.6228873532487977,0.0,0.0,0.0,1.0
-1.2173766508485855,-1.6942320985125399,0.0,0.0,0.0,1.0
-1.3039844292765608,-1.7808650034756557,0.0,0.0,0.0,1.0
-1.390592207704536,-1.8776900149050206,0.0,0.0,0.0,1.0
-1.4670108357292193,-1.969418973101261,0.0,0.0,0.0,1.0
-1.517956587745676,-2.040763718365005,0.0,0.0,0.0,1.0
-1.5485240389555486,-2.091724250696249,0.0,0.0,0.0,1.0
